 	Trajectory	Frame	x	y	z	m0	m1	m2	m3	m4	NPscore
246	10	94	995.996	959.978	0	27.431	2.872	9.985	38.865	163.842	6.979E-32
247	10	95	970.934	962.360	0	26.127	2.959	10.616	42.690	186.089	6.221E-12
248	10	96	946.757	959.546	0	27.643	2.823	9.595	36.293	147.785	3.628E-36
249	10	97	923.261	961.747	0	27.202	2.832	9.666	36.776	150.774	5.705E-23
250	10	98	898.339	961.525	0	27.201	2.824	9.610	36.399	148.385	9.303E-36
251	10	99	875.343	958.794	0	27.289	2.824	9.610	36.414	148.592	0
252	10	100	855.569	958.086	0	26.507	2.875	9.965	38.520	160.571	0
253	10	101	826.122	954.887	0	27.151	2.841	9.746	37.312	154.188	3.835E-38
254	10	102	805.713	953.664	0	27.477	2.813	9.527	35.918	145.798	0
255	10	103	780.507	948.959	0	28.463	2.813	9.520	35.901	145.944	0
256	10	104	757.085	945.703	0	28.377	2.831	9.657	36.721	150.629	1.892E-43
257	10	105	742.067	949.203	0	28.012	2.847	9.784	37.529	155.442	5.374E-31
258	10	106	715.216	947.118	0	27.616	2.832	9.676	36.879	151.616	2.662E-43
259	10	107	693.080	946.118	0	28.258	2.837	9.705	37.044	152.656	4.373E-31
260	10	108	666.329	950.660	0	27.696	2.829	9.619	36.376	147.952	3.738E-24
261	10	109	641.026	956.827	0	27.629	2.845	9.779	37.542	155.687	8.251E-21
262	10	110	619.872	958.766	0	27.085	2.859	9.851	37.847	156.752	4.868E-9
263	10	111	598.347	963.063	0	26.257	2.911	10.224	40.047	169.182	0.004
264	10	112	573.045	962.116	0	26.110	2.931	10.379	41.093	175.848	0.004
265	10	113	543.973	959.683	0	24.760	2.963	10.587	42.204	181.510	8.235E-9
266	10	114	517.239	962.390	0	23.186	3.019	10.967	44.390	193.524	1.304E-10
267	10	117	438.544	966.056	0	22.496	3.036	11.091	45.151	198.055	4.216E-15
268	10	120	349.293	967.724	0	22.866	2.960	10.535	41.733	177.903	1.544E-5
269	10	121	321.486	969.168	0	22.938	2.937	10.392	40.961	173.923	0.004
270	10	123	266.449	973.546	0	22.396	2.931	10.337	40.573	171.329	0.001
271	10	124	239.497	980.267	0	22.094	2.941	10.404	40.975	173.699	0.094
272	10	125	209.665	978.611	0	22.221	2.921	10.262	40.109	168.622	0.248
273	10	126	189.021	976.835	0	21.797	2.977	10.687	42.812	185.079	4.532E-4
274	10	127	166.708	974.028	0	21.524	2.974	10.668	42.707	184.433	5.569E-8
275	10	128	147.171	972.719	0	22.037	2.936	10.385	40.955	174.051	0.129
276	10	129	124.272	970.836	0	22.252	2.930	10.338	40.637	172.112	8.160
277	10	130	106.484	969.559	0	22.274	2.865	9.881	37.908	156.414	0.469
278	10	131	80.954	970.111	0	22.174	2.897	10.144	39.694	167.798	0.037
279	10	132	52.327	966.689	0	22.277	2.836	9.686	36.834	150.792	0.006
280	10	133	25.103	963.288	0	22.021	2.900	10.153	39.679	167.400	0.018
281	11	97	1019.526	1277.443	0	21.404	2.740	9.049	33.252	131.493	1.259E-13
282	11	98	998.045	1278.867	0	20.935	2.826	9.680	37.133	154.189	4.226E-10
283	11	99	978.315	1276.684	0	21.940	2.753	9.152	33.915	135.449	3.115
284	11	100	958.703	1277.000	0	19.538	2.780	9.357	35.229	143.418	8.991E-6
285	11	101	938.480	1280.950	0	22.980	2.744	9.118	33.871	135.972	4.272E-20
286	11	102	920.437	1279.299	0	22.480	2.735	9.029	33.225	131.744	0
287	11	103	901.909	1277.984	0	23.197	2.821	9.657	37.045	154.000	0
288	11	104	877.403	1279.483	0	23.931	2.728	8.973	32.863	129.564	1.892E-43
289	11	105	856.715	1282.016	0	24.229	2.782	9.351	35.102	142.274	5.374E-31
290	11	106	833.854	1283.855	0	23.134	2.794	9.408	35.319	143.020	2.662E-43
291	11	107	811.245	1281.745	0	24.498	2.745	9.080	33.445	132.678	4.373E-31
292	11	108	788.481	1282.907	0	24.329	2.816	9.568	36.255	148.130	3.738E-24
293	11	109	764.325	1280.852	0	24.507	2.812	9.542	36.099	147.206	8.251E-21
294	11	110	743.894	1280.571	0	25.042	2.790	9.391	35.249	142.613	4.868E-9
295	11	111	717.193	1285.114	0	25.246	2.793	9.420	35.454	144.012	0.004
296	11	112	695.083	1281.162	0	25.104	2.814	9.565	36.317	148.913	0.004
297	11	113	672.037	1278.637	0	26.420	2.783	9.352	35.059	141.764	8.235E-9
298	11	114	649.726	1278.622	0	25.051	2.760	9.186	34.035	135.753	5.727E-14
299	11	115	625.011	1277.178	0	25.907	2.761	9.218	34.381	138.483	0
300	11	116	605.955	1281.401	0	25.841	2.747	9.111	33.701	134.436	2.752E-30
301	11	117	584.883	1281.266	0	25.616	2.750	9.136	33.865	135.446	5.901E-29
302	11	118	561.380	1279.258	0	25.363	2.734	9.023	33.205	131.727	2.080E-41
303	11	119	542.718	1279.080	0	24.257	2.804	9.516	36.092	147.872	9.187E-7
304	11	120	520.627	1280.492	0	23.727	2.748	9.111	33.644	133.783	1.544E-5
305	11	121	499.315	1282.122	0	23.743	2.786	9.383	35.280	143.199	0.004
306	11	122	480.233	1281.450	0	22.133	2.750	9.158	34.074	136.840	3.726E-5
307	11	123	465.383	1280.561	0	21.808	2.738	9.085	33.679	134.749	0.001
308	11	124	445.509	1283.733	0	21.885	2.792	9.412	35.379	143.368	0.094
309	11	125	427.048	1285.207	0	21.953	2.784	9.390	35.415	144.381	0.248
310	11	126	408.854	1290.440	0	21.932	2.764	9.247	34.556	139.395	4.532E-4
311	11	127	389.125	1293.660	0	22.761	2.749	9.131	33.847	135.401	5.569E-8
312	11	128	369.525	1296.975	0	22.343	2.779	9.348	35.144	142.792	0.046
313	11	129	351.192	1294.764	0	21.771	2.774	9.304	34.820	140.577	0.024
314	11	131	298.049	1286.904	0	19.461	2.832	9.741	37.559	156.921	7.268E-16
315	11	132	281.063	1282.104	0	18.457	2.864	9.976	39.005	165.320	2.215E-31
316	11	133	263.385	1281.170	0	17.308	2.855	9.915	38.628	163.069	0
317	11	134	243.244	1282.611	0	16.778	2.857	9.899	38.386	160.934	0
318	11	135	223.951	1279.352	0	15.616	2.932	10.467	41.981	182.564	0.014
319	12	112	1023.547	298.460	0	22.457	2.736	9.061	33.497	133.576	2.763E-15
320	12	113	1001.462	300.313	0	21.543	2.822	9.628	36.674	150.714	5.360E-24
321	12	114	979.748	301.691	0	21.970	2.739	9.062	33.443	133.043	1.303E-10
322	12	115	959.026	298.724	0	21.146	2.739	9.106	33.906	136.630	0
323	12	116	940.526	302.750	0	22.087	2.784	9.376	35.230	142.758	2.752E-30
324	12	117	924.222	304.414	0	20.492	2.772	9.314	35.014	142.302	4.216E-15
325	12	118	908.273	304.607	0	18.724	2.858	9.962	39.077	166.570	8.134E-25
326	12	119	885.200	307.286	0	19.502	2.845	9.871	38.505	163.092	3.347E-28
327	12	120	866.304	309.843	0	18.164	2.924	10.453	42.152	185.135	0
328	13	118	403.365	964.116	0	21.756	3.094	11.529	47.925	214.828	8.134E-25
329	13	119	378.069	966.680	0	23.003	3.000	10.844	43.716	190.072	9.187E-7
330	14	128	1031.265	762.905	0	21.086	2.984	10.769	43.507	190.252	0.083
331	14	130	976.343	762.707	0	22.846	2.952	10.497	41.588	177.515	0.463
332	14	131	949.954	761.730	0	23.208	2.953	10.524	41.848	179.570	0.037
